Pputida_geneID,Sensitive,Sensitive_azt2,Resistant,Resistant_azt2,Resistant_azt4
PP_3739,14.4953439412066,1.00936217688213,1.25083426945655,0.917016744772413,0.80331932833196
PP_3740,10.885057266236,1.33555831201816,1.0836439228305,1.0556302031959,1.09182660281817
PP_3745,61.253763158459,3.48004684051308,1.53189828289326,8.68113743070771,5.13217082377337
PP_3746,17.1348131901035,2.88444147663403,1.5274802140684,6.92861162465053,3.93059773785363
PP_3747,12.8109569825722,3.87547084104996,1.69621166872473,9.25181058962377,4.88452683598475
PP_3751,186.733897992481,1.07869613567205,0.734913228413824,1.37648049031191,1.12745779898573
PP_3766,160.844645409586,0.72485306405109,0.913842729909251,0.786542335467357,0.731126188641396
PP_3794,239.474193911,0.832445211878024,0.88954237294034,0.912235975683191,0.883775356679541
PP_3796,23.6816317565908,1.28771518313688,1.19834878752345,1.2926860200348,1.41088801231811
PP_3801,12.6726040671023,0.490754293268574,0.511389531327876,0.63699206775357,0.496789299838885
PP_3802,3.19477415921997,1.42451667796804,0.766114930816342,0.631731416622007,0.98560723984595
PP_3803,5.47238752884116,0.980093274939201,0.525541624131687,0.790650582095062,1.5719725612722
PP_3815,14.369480269511,1.02278876614041,0.892442051690213,0.803415801935149,1.10882740374133
PP_3819,838.195212163916,0.789956978652095,1.03067795904934,1.0714042246872,0.792448674585997
PP_3821,500.330646098037,1.27029956160937,0.943585627801303,0.997429759727602,1.21209817595817
PP_3828,62.082396327899,0.844535051811423,1.05267328147938,1.17389322225856,1.0290238251652
PP_3829,28.292372200902,0.894364890390521,1.01787210999254,1.01687643337977,0.933738533786545
PP_3830,41.1389760260529,0.999043772618834,1.20786831751064,0.925420817259379,1.16866405289644
PP_3839,1410.9876839479,1.51121090138905,0.75945524900947,1.6409072665974,1.47156308718901
PP_3844,15.5638006593904,0.85100835368607,0.970346005807493,1.15624675369434,0.777827132265462
PP_3846,23.3697690322621,1.25350205300154,1.10435131778733,0.989830923333286,1.39641953290809
PP_3931,533.380729407001,1.05760189220277,0.700890638576567,1.37902044452573,1.00390855719523
PP_3944,5.2511954029699,0.83710427748878,0.272014872082777,0.563273703943288,0.800643325232818
PP_3947,124.887268974731,0.130644699641835,1.14919836784611,0.472839116033016,0.18821181657883
PP_3957,621.539590115199,0.694177556020424,0.836774485662556,0.621982549457603,0.707388131761574
PP_3958,495.299326357194,1.0503244857831,1.05466492229871,1.23927712748653,1.05568897256372
PP_3970,12.461590347071,1.62005965373757,1.43221531882268,1.57856492077266,1.85437551523516
PP_3992,90.19771244239,0.842363372672299,0.970954344404824,0.764080050734363,0.893201021397331
PP_3999,436.508758031499,0.806271288291753,1.00175711893857,0.870156744256972,0.844496640473439
PP_4000,531.13737887709,0.872185834918624,0.987366824647222,0.853307637217921,0.862455659652688
PP_4011,4995.19690709504,1.1365588617945,1.11972662082949,1.36556740617789,1.17278734575822
PP_4012,1509.64843720787,1.01222646958505,0.884496792723862,1.08792136799001,0.983971880747752
PP_4016,203.958483752883,1.41258286490713,0.82364625042751,1.08655819598213,1.47080150085031
PP_4020,58.6634967298038,0.977921170398715,0.821993710505086,1.26254276672842,1.43604862136944
PP_4029,191.27817997751,0.864021771633563,1.11548181344594,0.944866321847478,0.896633581075443
PP_4031,235.016606463868,0.769629936706667,0.974111750171583,0.951900594347419,0.815977173138522
PP_4034,35.4574318457744,1.35980534476704,1.04356644797894,1.58189847119089,1.67236202018729
PP_4035,21.7432427964802,0.816548309750795,0.947831764402941,0.784253363735108,0.653882666639246
PP_4036,40.4738791452101,0.648437845617966,1.13435497040924,0.867918255474597,0.669415261926445
PP_4037,35.2737436310756,0.673741593390978,0.788115744271693,0.784416237177108,0.716159080205073
PP_4038,13.6559107369506,1.23927456033418,0.853535567991603,1.4204945473636,1.23185314912168
PP_4050,25.2605118552095,1.80116672786224,1.33921725446891,1.85624761227677,2.15533050806085
PP_4051,21.1749948730421,1.16580349183532,1.01266182052207,1.31040954402243,1.41427595761582
PP_4053,19.3319343671071,1.8494737495602,1.81016767843247,2.01906975480865,1.60276115686625
PP_4055,24.793112936069,1.6609079455759,1.09866048351502,1.79485999655463,1.62033425006225
PP_4058,27.9805094765732,1.55384248413432,1.12156029712513,1.7029738779073,1.59124611118251
PP_4059,58.9988536183013,1.31942815337061,1.18787421147119,1.50739412631785,1.49229007141215
PP_4060,35.9951807315418,1.42609635498609,1.16272914692705,1.28784134521582,1.55614060429234
PP_4063,282.491563860441,1.08212639063105,0.893687891999571,1.62097769964289,1.20804952857459
PP_4064,912.154332542051,0.8977034055007,0.970841145862346,1.47667059839105,0.992910522540507
PP_4065,268.170066293457,1.2570548845234,1.03014285923039,1.99676072882051,1.47610885423827
PP_4066,72.571480039938,1.44203840574509,1.17282101112614,2.36378901980682,1.76908548094111
PP_4067,202.158134283116,1.74228491041944,1.11697737717259,3.13574504758144,1.9522087725347
PP_4097,187.397871947734,1.05496425597887,1.10082606044053,1.18953039342812,1.11366001453748
PP_4103,33.4643556951495,1.28565788970987,1.57561711293913,1.15621046877963,1.61637567516824
PP_4116,479.840494235264,1.06269757624637,0.959706019290201,1.40200286928771,1.06038511379915
PP_4119,871.036802296934,1.07372887007602,1.04773973281712,1.1104796387311,1.14129824162687
PP_4120,521.687496103518,0.886803719268347,0.84307745298422,0.78584427664667,0.878011339212621
PP_4121,529.877746939851,0.961523200719633,0.878047726999591,0.946020998605553,1.06719461033808
PP_4122,159.479916383487,1.05040567979877,0.972619098115966,1.02027275384812,1.10656461409879
PP_4123,561.734039962455,0.875463101661277,0.916785200060269,0.952279940838763,0.893358668165868
PP_4124,1283.16262598268,0.908302064641812,0.908872787355313,0.960336425273461,0.910163492239738
PP_4125,617.898418617733,0.823020366525251,0.845533942100451,0.996163674323336,0.890547151485418
PP_4126,248.694836091551,0.769292433848287,0.825038300462039,0.986963659384097,0.835492257184341
PP_4127,201.930968683875,0.773518366283711,0.877908445727902,0.918627596181645,0.860653100240182
PP_4128,124.907625786412,0.863829741585032,0.916072047309392,0.922859772031653,0.885921811416986
PP_4129,1130.60471115071,0.75940485686406,0.855662089716763,0.916684636968379,0.818080543154146
PP_4130,523.671148003157,0.746238596404947,0.793873828439021,0.95027980632856,0.807304725595856
PP_4131,770.795292807458,0.724023725948517,0.797295999384668,0.894948445064854,0.77702372877787
